# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,5.19,4.09,21.538167536322856,0,3.5,-0.13355166115402728,0.0,0.0,0.0
 0.07138111052819697,5.198294084961655,4.093273511030414,21.538167536322856,0.2498338868486894,3.5,-0.13355166115402728,0.0,-2.2733211848392973,0.0
 0.10205835290771975,5.206959200942076,4.096681276571302,21.468428311329035,0.35720423517701916,3.500000000000001,-0.11672333767459304,0.0,-2.6190200627699722,0.0
 0.12633517577356423,5.215993095360579,4.100222502682792,21.40484682518307,0.4421731152074749,3.5000000000000013,-0.10260068496892455,0.0,-2.7617356817120915,0.0
 0.1474039108393923,5.225393515636475,4.103896395425011,21.346660547783237,0.5159136879378731,3.4999999999999973,-0.09066007469696923,0.0,-2.8005941248414756,0.0
 0.16648290517388759,5.235158209189081,4.1077021608580875,21.293228028342167,0.5826901681086065,3.4999999999999987,-0.08049504713426422,0.0,-2.7801461659516526,0.0
 0.1841878164324225,5.245284923437711,4.11163900504215,21.24400578718824,0.6446573575134786,3.499999999999997,-0.07178681007888475,0.0,-2.724536412892877,0.0
 0.20087890650944729,5.255771405801679,4.115706134037326,21.19853030450251,0.7030761727830654,3.5000000000000018,-0.06428293528859826,0.0,-2.6480598517828557,0.0
 0.21678733219840152,5.2666154037003,4.119902753903746,21.156403841130516,0.7587556626944052,3.4999999999999964,-0.057781772826764596,0.0,-2.5596103047147194,0.0
 0.23207116979845394,5.277814664552886,4.124228070701535,21.117283172913837,0.8122490942945886,3.4999999999999947,-0.05212091408601817,0.0,-2.464885441576966,0.0
 0.2468437060348998,5.289366935778754,4.128681290490822,21.08087056340945,0.8639529711221491,3.4999999999999982,-0.047168558581645606,0.0,-2.367594918513984,0.0
 0.26118910374607496,5.301269964797219,4.133261619331734,21.046906472684412,0.9141618631112621,3.5,-0.042816983132674756,0.0,-2.270168477474903,0.0
 0.2751716993407844,5.313521499027592,4.137968263284401,21.015163624932022,0.9631009476927452,3.5000000000000058,-0.03897756035948529,0.0,-2.174191405920748,0.0
 0.28884182817483856,5.326119285889192,4.142800428408952,20.985442148303193,1.0109463986119347,3.499999999999992,-0.035576919118995236,0.0,-2.0806820418861176,0.0
 0.3022396372575674,5.339061072801329,4.147757320765511,20.95756556754414,1.0578387304014858,3.500000000000006,-0.03255396413125876,0.0,-1.9902734976411542,0.0
 0.315397671918852,5.352344607183319,4.15283814641421,20.93137747987674,1.1038918517159817,3.499999999999994,-0.0298575432555502,0.0,-1.9033352201880607,0.0
 0.328342684317525,5.365967636454477,4.158042111415176,20.906738781852578,1.1491993951113373,3.500000000000002,-0.02744460754929041,0.0,-1.82005565429975,0.0
 0.34109693068451696,5.379927908034117,4.163368421828535,20.883525343636002,1.1938392573958092,3.5000000000000044,-0.025278751537392088,0.0,-1.7404991999200936,0.0
 0.35367912258757933,5.394223169341553,4.168816283714417,20.86162604869548,1.2378769290565277,3.5000000000000155,-0.023329045691021632,0.0,-1.6646458619832623,0.0
 0.36610513801529276,5.408851167796101,4.1743849031329505,20.840941133532795,1.2813679830535247,3.500000000000002,-0.021569098193053336,0.0,-1.5924190431109295,0.0
 0.3783885619668562,5.423809650817073,4.180073486144261,20.82138077531772,1.3243599668839967,3.499999999999991,-0.01997629651224841,0.0,-1.5237051275245468,0.0
 0.39054110361417643,5.439096365823784,4.18588123880848,20.802863885297242,1.3668938626496174,3.499999999999998,-0.018531189581848625,0.0,-1.4583673265313553,0.0
 0.4025729225372994,5.454709060235549,4.191807367185733,20.78531707370102,1.409005228880548,3.5,-0.01721698394944267,0.0,-1.3962554413124162,0.0
 0.41449288692326064,5.470645481471683,4.19785107733615,20.768673758566873,1.450725104231412,3.4999999999999862,-0.016019129054594898,0.0,-1.3372127522870825,0.0
 0.4263087801368719,5.4869033769515,4.204011575319857,20.75287339548197,1.4920807304790513,3.499999999999993,-0.014924974303087023,0.0,-1.2810808247859427,0.0
 0.43802746761455136,5.503480494094313,4.210288067196983,20.737860809662656,1.5330961366509295,3.500000000000005,-0.013923486829161651,0.0,-1.2277028377869166,0.0
 0.4496550329122321,5.520374580319438,4.216679759027657,20.72358561475014,1.573792615192812,3.5000000000000098,-0.013005013809195227,0.0,-1.1769258315731213,0.0
 0.4611968895191194,5.537583383046188,4.223185856872005,20.710001705565183,1.6141891133169177,3.499999999999995,-0.01216108580636753,0.0,-1.1286021922160507,0.0
 0.47265787344733995,5.55510464969388,4.229805566790159,20.697066813978836,1.6543025570656895,3.499999999999993,-0.011384249615580466,0.0,-1.082590573959435,0.0
 0.4840423204358197,5.5729361276818254,4.236538094842241,20.68474211897937,1.6941481215253686,3.500000000000005,-0.010667929959853792,0.0,-1.0387564207101765,0.0
 0.4953541307391324,5.591075564429339,4.243382647088384,20.672991903396948,1.7337394575869631,3.4999999999999902,-0.010006310182517734,0.0,-0.9969722146263977,0.0
 0.5065968238221497,5.6095207073557365,4.250338429588713,20.661783250775606,1.7730888833775236,3.5000000000000124,-0.009394232626906794,0.0,-0.9571175026084755,0.0
 0.5177735847894985,5.628269303880332,4.25740464840336,20.651085777231284,1.8122075467632446,3.499999999999995,-0.00882711165023038,0.0,-0.9190788084732241,0.0
 0.528887304002888,5.64731910142244,4.264580509592449,20.640871393418937,1.8511055640101075,3.4999999999999902,-0.008300862721984876,0.0,-0.8827494235370958,0.0
